problem_id,split,language,difficulty,difficulty_source,membership
awk/1,test_problems,awk,easy,level_propagated,gen+expl+compl
awk/2,train_problems,awk,middle,level_propagated,gen+expl+compl
awk/3,test_problems,awk,hard,level_propagated,gen+expl+compl
awk/4,train_problems,awk,easy,level_propagated,gen+expl+compl
awk/5,train_problems,awk,middle,level_propagated,gen+expl+compl
awk/6,train_problems,awk,middle,level_propagated,gen+expl+compl
awk/7,test_problems,awk,middle,level_propagated,gen+expl+compl
awk/8,train_problems,awk,easy,level_propagated,gen+expl+compl
awk/9,test_problems,awk,easy,level_propagated,gen+expl+compl
awk/10,train_problems,awk,easy,level_propagated,gen+expl+compl
awk/11,train_problems,awk,middle,level_propagated,gen+expl+compl
awk/12,train_problems,awk,easy,level_propagated,gen+expl+compl
awk/13,train_problems,awk,easy,level_propagated,gen+expl+compl
awk/14,test_problems,awk,middle,level_propagated,gen+expl+compl
awk/15,test_problems,awk,easy,level_propagated,gen+expl+compl
awk/16,test_problems,awk,easy,level_propagated,gen+expl+compl
awk/17,train_problems,awk,easy,level_propagated,gen+expl+compl
awk/18,train_problems,awk,easy,level_propagated,gen+expl+compl
awk/19,train_problems,awk,easy,level_propagated,gen+expl+compl
awk/20,train_problems,awk,easy,level_propagated,gen+expl+compl
awk/21,train_problems,awk,middle,level_propagated,gen+expl+compl
awk/22,train_problems,awk,middle,level_propagated,gen+expl+compl
awk/23,train_problems,awk,easy,level_propagated,gen+expl+compl
awk/24,train_problems,awk,easy,level_propagated,gen+expl+compl
awk/25,train_problems,awk,easy,level_propagated,gen+expl+compl
awk/26,train_problems,awk,easy,level_propagated,gen+expl+compl
awk/27,train_problems,awk,easy,level_propagated,gen+expl+compl
awk/28,train_problems,awk,easy,level_propagated,gen+expl+compl
awk/29,train_problems,awk,easy,level_propagated,gen+expl+compl
awk/30,test_problems,awk,easy,level_propagated,gen+expl+compl
awk/31,train_problems,awk,easy,level_propagated,gen+expl+compl
awk/32,train_problems,awk,easy,level_propagated,gen+expl+compl
awk/33,test_problems,awk,easy,level_propagated,gen+expl+compl
awk/34,train_problems,awk,hard,level_propagated,gen+expl+compl
awk/35,train_problems,awk,middle,level_propagated,gen+expl+compl
